mileage,engine,max_power,km_driven,transmission,Cluster
23.4,1248.0,74.0,145500,1,1
21.14,1498.0,103.52,120000,1,1
17.7,1497.0,78.0,140000,1,3
23.0,1396.0,90.0,127000,1,1
16.1,1298.0,88.2,120000,1,3
20.14,1197.0,81.86,45000,1,3
17.3,1061.0,57.5,175000,1,3
16.1,796.0,37.0,5000,1,3
23.59,1364.0,67.1,90000,1,1
20.0,1399.0,68.1,169000,1,1
19.01,1461.0,108.45,68000,1,1
17.3,993.0,60.0,100000,1,3
19.3,1248.0,73.9,140000,1,1
18.9,1248.0,74.0,80000,1,3
18.9,1061.0,67.0,90000,1,3
18.15,1198.0,82.0,40000,1,3
24.52,1248.0,88.5,70000,1,1
23.0,1396.0,90.0,53000,1,1
19.7,796.0,46.3,80000,1,3
22.54,1396.0,88.73,100000,1,1
21.0,1461.0,64.1,100000,1,1
25.5,1498.0,98.6,50000,1,1
26.59,1248.0,74.0,40000,1,1
21.5,1248.0,88.8,72000,1,1
20.3,1199.0,83.81,35000,1,3
21.4,1197.0,83.1,45000,1,3
24.7,796.0,47.3,28000,1,3
18.2,1248.0,73.8,70000,1,1
18.9,1061.0,67.0,120000,1,3
16.8,796.0,34.2,25000,1,3
24.3,1248.0,88.5,70000,1,1
18.9,1248.0,74.0,50000,1,3
14.0,796.0,35.0,35000,1,3
18.6,1197.0,81.83,2388,1,3
24.3,1248.0,88.5,16200,1,1
33.44,796.0,40.3,10000,1,3
23.95,998.0,67.1,15000,1,3
17.0,1591.0,121.3,5000,1,3
20.63,1198.0,67.0,42000,1,3
13.93,2179.0,138.03,60000,1,2
16.1,796.0,37.0,76000,1,3
16.0,1368.0,160.77,5000,2,0
17.8,1497.0,117.3,28900,1,3
16.8,1497.0,116.3,86300,1,3
18.5,1197.0,83.14,23300,2,0
24.3,1248.0,88.5,32600,1,1
23.95,998.0,67.05,10300,1,3
12.55,2982.0,168.5,77000,1,2
12.99,2494.0,100.0,99000,1,2
14.8,2143.0,120.7,27800,2,0
24.7,1498.0,98.63,49800,1,1
13.5,2477.0,175.56,151000,1,2
26.0,1498.0,98.6,54700,1,1
20.65,1462.0,103.25,64000,1,3
27.3,1498.0,98.6,63000,1,1
11.36,2755.0,171.5,127700,2,0
12.99,2494.0,100.6,99000,1,2
17.68,1968.0,174.33,33900,2,0
14.28,1798.0,138.03,25000,2,0
18.53,1968.0,187.74,50000,2,0
14.84,2143.0,170.0,59000,2,0
21.12,1248.0,88.8,120000,1,1
20.36,1197.0,78.9,110000,1,3
21.27,1396.0,88.76,60000,1,1
26.59,1248.0,74.0,147000,1,1
18.16,1196.0,86.8,25000,1,3
21.4,1197.0,83.1,30000,1,3
22.0,1498.0,108.495,40000,1,1
25.1,1498.0,98.6,135000,1,1
20.51,998.0,67.0,30000,2,0
21.66,1498.0,108.62,80000,1,1
24.3,1248.0,88.5,70000,1,1
24.3,1248.0,88.5,9850,2,0
20.36,1197.0,78.9,60000,1,3
25.2,1248.0,74.0,70000,1,1
12.55,2982.0,168.5,78000,1,2
22.9,1248.0,74.0,120000,1,1
16.02,1373.0,93.7,120000,1,3
18.9,1248.0,74.0,70000,1,1
20.54,1598.0,103.6,170000,1,1
12.99,2494.0,100.6,140000,1,2
22.77,1498.0,98.59,90000,1,1
15.71,1998.0,189.0,30000,2,0
23.1,998.0,67.04,10000,1,3
19.02,1198.0,67.05,49000,1,3
24.7,796.0,47.3,32000,1,3
24.7,796.0,47.3,38000,1,3
18.9,1248.0,74.0,78000,1,1
19.81,1086.0,68.05,28000,1,3
14.0,796.0,35.0,32000,1,3
26.2,998.0,58.2,44000,1,3
16.47,1198.0,74.0,42000,1,3
19.81,1086.0,68.05,45000,1,3
15.04,1598.0,103.6,12000,1,3
18.2,998.0,67.1,55500,1,3
18.5,1197.0,82.85,61500,1,3
26.59,1248.0,74.0,150000,1,1
19.1,1197.0,82.0,72000,2,0
19.7,796.0,46.3,68000,1,3
22.54,1396.0,88.73,110000,1,1
21.79,998.0,67.05,77000,1,3
18.8,1248.0,90.0,100000,1,1
21.21,1197.0,81.8,10000,1,3
15.37,1196.0,73.0,100000,1,3
21.4,1197.0,83.1,35000,1,3
11.79,2179.0,120.0,70000,2,0
19.0,1194.0,94.68,5000,1,3
17.0,1591.0,121.3,37800,1,3
14.3,1798.0,160.0,114000,1,1
15.8,1172.0,65.0,48000,1,3
15.1,2179.0,155.0,32000,1,2
19.09,1405.0,69.01,100000,1,1
22.32,1582.0,126.32,150000,1,1
21.9,1396.0,88.76,69000,1,1
14.53,1798.0,138.1,100000,1,1
21.63,998.0,67.04,13000,1,3
24.3,1248.0,88.5,60000,1,1
20.85,1197.0,83.14,40000,1,3
20.51,998.0,67.04,35000,1,3
18.9,1248.0,74.0,120000,1,1
20.45,1461.0,83.8,70000,1,1
19.67,1582.0,126.2,50000,1,1
23.0,1498.0,98.96,76139,1,1
19.3,1248.0,73.9,175000,1,1
23.01,999.0,67.0,25000,1,3
23.1,998.0,67.04,40000,1,3
19.7,796.0,46.3,65000,1,3
20.77,1248.0,88.76,90000,1,1
17.92,1086.0,62.1,80000,1,3
20.77,1248.0,88.76,110000,1,1
17.8,1198.0,86.7,1303,1,3
17.01,1968.0,188.0,31800,2,0
22.37,2487.0,214.56,20000,2,0
19.33,1999.0,177.0,45000,2,0
9.5,3604.0,280.0,17000,2,0
12.83,1999.0,148.31,21000,2,0
13.5,2987.0,254.79,37000,2,0
22.48,1995.0,187.74,29500,2,0
18.9,1248.0,74.0,27000,2,0
16.78,1995.0,190.0,7500,2,0
14.67,1798.0,177.46,50000,2,0
15.0,2143.0,204.0,35000,2,0
13.96,1451.0,141.0,19000,2,0
18.0,1497.0,117.6,41000,2,0
14.28,1798.0,138.03,39000,2,0
18.0,1969.0,190.0,22000,2,0
12.07,2967.0,241.4,53000,2,0
26.21,1248.0,88.5,40000,1,1
13.5,2987.0,282.0,47000,2,0
10.8,2497.0,150.0,72200,2,0
16.3,1797.0,147.5,49900,1,1
13.6,1999.0,177.0,9000,2,0
17.0,1198.0,108.5,11000,1,3
15.04,1598.0,103.6,49000,1,3
16.3,1797.0,147.5,95000,1,1
14.3,1598.0,103.5,11000,2,0
15.04,1991.0,183.0,18000,2,0
16.02,1373.0,93.7,46100,1,3
14.74,1991.0,181.04,16000,2,0
15.6,1497.0,116.3,18000,2,0
19.56,1197.0,81.8,9654,2,0
23.95,998.0,67.05,11000,1,3
21.21,1197.0,81.8,24300,1,3
11.36,2755.0,171.5,42163,2,0
21.5,1497.0,108.5,8000,2,0
22.69,1995.0,190.0,30000,2,0
19.16,2494.0,157.7,41000,2,0
18.12,1995.0,190.0,12000,2,0
12.1,2362.0,164.7,71000,2,0
17.5,1373.0,91.1,20000,1,3
42.0,1969.0,400.0,30000,2,0
20.54,1598.0,103.6,100000,1,1
18.16,1196.0,86.8,9500,1,3
20.0,1399.0,68.0,120000,1,1
20.4,1197.0,81.8,36600,1,3
20.51,998.0,67.0,50000,2,0
18.6,1197.0,81.83,14000,1,3
16.1,796.0,37.0,40000,1,3
21.1,1248.0,73.9,120000,1,1
18.9,1197.0,82.0,70000,1,3
19.44,999.0,75.0,13000,1,3
18.9,1197.0,82.0,60000,1,3
19.1,1197.0,85.8,35000,1,3
19.1,1197.0,82.0,44000,1,3
13.0,1493.0,100.0,120000,1,3
21.43,1364.0,87.2,60000,1,1
18.5,796.0,53.0,60000,1,3
13.0,2982.0,168.5,30000,1,2
18.15,1198.0,82.0,15000,1,3
22.95,1248.0,74.0,90000,1,1
17.0,1497.0,118.0,47000,1,3
17.3,993.0,60.0,90000,1,3
18.9,998.0,67.1,120600,1,3
16.2,1599.0,103.2,100000,1,3
20.85,1197.0,83.14,60000,1,3
15.3,1341.0,83.0,86000,1,3
18.6,1197.0,81.86,5000,1,3
28.09,1248.0,88.5,37000,1,1
20.3,1199.0,84.0,14000,1,3
20.77,1248.0,88.76,70000,1,1
18.9,1248.0,74.0,120000,1,1
17.4,1497.0,117.3,50000,1,3
19.4,1198.0,86.8,60000,1,3
26.6,998.0,58.16,50000,1,3
20.85,1197.0,83.14,50000,1,3
18.5,1197.0,82.85,70000,1,3
18.9,1248.0,74.0,90000,1,3
20.51,998.0,67.0,35000,2,0
21.21,1197.0,81.8,20000,1,3
24.7,796.0,47.3,20000,1,3
22.0,1197.0,81.8,7800,2,0
20.4,1197.0,81.8,20000,1,3
17.6,2179.0,147.94,15000,1,2
18.5,1197.0,82.85,31377,1,3
28.4,1248.0,74.02,50000,1,1
20.51,998.0,67.04,60000,1,3
14.53,1794.0,138.1,100000,2,0
19.4,1198.0,86.8,60000,1,3
21.4,1197.0,83.1,5000,2,0
14.1,2179.0,147.94,60000,1,2
19.7,796.0,46.3,25000,1,3
25.17,799.0,53.3,30000,1,3
20.63,1198.0,67.0,80000,1,3
24.3,1248.0,88.5,75000,1,1
20.14,1197.0,81.86,32000,1,3
22.74,796.0,47.3,40000,1,3
17.0,1197.0,80.0,93000,1,3
17.57,1193.0,88.7,60000,1,3
18.9,1248.0,74.0,120000,1,3
16.95,1498.0,97.7,37000,1,3
17.0,1497.0,121.36,15000,1,3
19.49,1198.0,67.04,80000,1,3
20.51,998.0,67.04,140000,1,3
12.83,2696.0,162.0,70000,1,2
17.21,1493.0,100.0,120000,1,1
21.1,1248.0,73.9,110000,1,1
19.67,1582.0,126.2,37000,1,1
25.17,799.0,53.3,44000,1,3
20.77,1248.0,88.76,80000,1,1
15.1,2179.0,140.0,125000,1,2
15.37,1196.0,73.0,13500,1,3
17.92,1086.0,62.1,75000,1,3
13.2,1495.0,94.0,120000,1,3
15.1,2179.0,140.0,120000,1,2
12.99,2494.0,100.57,70000,1,2
23.4,1248.0,74.0,70000,1,1
19.0,1199.0,88.76,15000,2,0
20.36,1197.0,78.9,53000,1,3
23.4,1248.0,74.0,120000,1,1
24.52,1248.0,88.5,70000,1,1
14.2,1341.0,82.9,120000,1,3
18.5,1197.0,80.0,100000,1,3
18.9,1248.0,74.0,110000,1,1
20.4,1197.0,83.11,100000,1,3
19.4,1405.0,70.0,162500,1,1
22.54,1396.0,88.73,39000,1,1
26.8,1248.0,74.0,75000,1,1
17.6,2179.0,153.86,50000,2,0
17.3,1497.0,121.0,40000,1,1
22.32,1582.0,126.3,92500,1,1
23.4,1248.0,74.0,158000,1,1
19.3,1248.0,73.9,120000,1,1
26.0,1498.0,98.6,50000,1,1
19.3,1248.0,73.9,110000,1,1
25.4,1186.0,73.97,2000,1,1
11.5,2982.0,171.0,181000,1,2
27.28,1047.0,69.0,70000,1,1
17.97,1498.0,99.6,90000,2,0
18.6,1197.0,81.86,2000,1,3
20.85,1197.0,83.14,20000,1,3
12.8,2494.0,102.0,120000,1,2
16.55,2498.0,105.0,35000,1,2
19.3,1248.0,73.9,193000,1,1
20.4,1197.0,81.8,80000,1,3
19.02,1198.0,67.05,40000,1,3
22.54,1396.0,88.73,70000,1,1
12.05,2179.0,120.0,122358,1,2
14.07,2956.0,69.01,75000,1,2
27.28,1047.0,69.0,120000,1,1
17.57,1193.0,88.7,40000,1,3
13.2,1495.0,94.0,95200,1,3
19.4,1198.0,86.8,33033,1,3
18.9,1197.0,82.0,63063,2,0
21.02,1248.0,88.76,60000,1,1
19.7,796.0,46.3,45000,1,3
11.57,2179.0,138.1,80000,1,2
13.6,2523.0,63.0,170000,1,2
13.6,2523.0,63.0,207890,1,2
17.9,2143.0,170.0,7976,2,0
16.8,796.0,34.2,35000,1,3
18.9,1197.0,82.0,35000,1,3
16.95,1197.0,78.9,50000,2,0
20.4,1197.0,81.8,20000,1,3
16.95,1197.0,78.9,20000,2,0
18.6,1197.0,85.8,50000,1,3
15.96,2523.0,62.1,120000,1,2
17.1,1591.0,121.3,70000,1,3
17.19,1197.0,81.86,50000,1,3
21.01,1197.0,81.8,16500,1,3
17.0,1197.0,80.0,70000,1,3
19.7,796.0,46.3,99361,1,3
26.59,1248.0,74.0,25000,1,1
19.1,1197.0,85.8,70000,1,3
24.0,1120.0,70.0,80000,1,1
18.9,1248.0,74.0,70000,1,3
19.1,1197.0,85.8,70000,1,3
18.6,1199.0,79.4,60000,1,3
20.3,1199.0,84.0,10000,2,0
16.1,796.0,37.0,80000,1,3
25.6,1498.0,97.9,30000,1,1
25.6,1498.0,97.9,33000,1,1
16.02,1373.0,93.7,90000,1,3
19.01,1461.0,108.5,80100,1,1
17.4,1497.0,117.3,120000,1,3
18.9,1248.0,74.0,10000,1,1
25.17,799.0,53.3,40000,1,3
12.99,2494.0,100.6,160000,1,2
20.51,998.0,67.04,47000,1,3
21.38,1396.0,88.7,25000,1,1
23.84,1199.0,84.0,26000,1,3
24.0,1186.0,73.97,29000,1,1
21.4,1197.0,83.1,50000,2,0
16.1,1298.0,88.2,58000,1,3
17.4,1197.0,85.8,120000,2,0
20.4,1197.0,81.8,50000,1,3
17.0,1197.0,80.0,80000,1,3
17.3,993.0,60.0,60000,1,3
23.1,998.0,67.04,36000,1,3
12.8,2494.0,102.0,120000,1,2
21.1,1248.0,73.9,185000,1,1
23.08,1461.0,63.1,50000,1,1
17.3,993.0,60.0,100000,1,3
17.1,1591.0,121.3,50000,1,3
18.2,998.0,67.1,80000,1,3
18.9,1248.0,74.0,60000,1,3
19.7,796.0,46.3,80000,1,3
19.3,1248.0,73.9,90000,1,1
19.0,998.0,66.1,162000,1,3
20.77,1248.0,88.76,110000,1,1
17.8,1248.0,75.0,120000,1,1
23.08,1461.0,63.1,45000,1,1
18.9,998.0,67.1,90000,1,3
20.0,1399.0,68.0,90000,1,1
17.0,1197.0,110.0,16500,1,3
17.01,1582.0,126.2,67000,2,0
22.0,1197.0,81.8,52000,1,3
20.63,1198.0,67.0,40000,1,3
18.9,1197.0,82.0,40000,1,3
14.24,2755.0,174.5,35000,1,2
20.71,799.0,53.26,13000,1,3
18.5,1198.0,86.8,40000,1,3
17.0,1198.0,73.75,10000,1,3
16.95,1498.0,97.7,9000,1,3
23.59,1364.0,67.06,70000,1,1
20.36,1197.0,78.9,60000,1,3
20.45,1461.0,83.8,40000,1,1
15.1,2179.0,140.0,93000,1,2
12.8,2494.0,102.0,80000,1,2
15.64,1193.0,64.08,50000,1,3
14.5,1797.0,147.5,68000,2,0
14.84,2143.0,170.0,25000,2,0
25.4,624.0,37.5,18000,1,3
23.08,1461.0,63.1,120000,1,1
18.9,998.0,67.1,35000,1,3
26.59,1248.0,74.0,60000,1,1
20.36,1197.0,78.9,70000,1,3
25.17,799.0,53.3,30000,1,3
16.34,1798.0,189.3,70000,2,0
14.1,2179.0,147.94,110000,1,2
18.0,1969.0,190.0,20000,2,0
19.16,2494.0,157.7,68089,2,0
21.79,998.0,67.05,58343,1,3
27.39,1248.0,74.0,38817,1,1
18.2,1199.0,88.7,56494,1,3
12.99,2494.0,100.6,79328,1,2
22.0,1197.0,81.8,5621,2,0
16.78,1496.0,88.73,25538,1,3
22.0,1197.0,81.8,69779,2,0
24.0,1186.0,73.97,56290,1,1
16.78,1995.0,190.0,7500,2,0
16.78,1995.0,190.0,8500,2,0
19.0,1199.0,88.76,7032,2,0
16.8,1984.0,150.0,2000,2,0
20.36,1197.0,78.9,106000,1,3
18.9,1248.0,74.0,162000,1,1
11.1,2354.0,158.8,120000,2,0
26.59,1248.0,74.0,90000,1,1
22.32,1582.0,126.32,70000,1,1
12.8,2494.0,102.0,240000,1,2
21.5,1248.0,88.8,100000,1,1
13.9,1599.0,103.2,214000,1,3
16.8,1493.0,110.0,214000,1,1
